144.09,143.65
145.1,146.57
147.54,147.47
145.59,147.06
146.52,146.53
146.76,148.9508
149.03,153
153.87,153.97
153.63,153.26
152.45,153.95
154.7,156.1
156.01,155.65
155.94,155.47
153.6,150.25
151.27,152.46
153.38,153.06
154,153.99
154.9,153.8
153.84,153.34
153.73,153.87
154,153.61
153.42,153.67
153.97,152.76
153.17,153.18
153.58,155.45
154.34,153.93
153.9,154.45
155.02,155.37
155.25,154.99
155.19,148.98
145.74,145.42
147.16,146.59
147.5,145.16
143.32,144.29
143.78,142.27
143.66,146.34
146.87,145.01
145.52,145.87
145.77,145.63
145.13,146.31
147.17,145.82
145.01,143.74
